country,country_iso,region,year,oil_&_gas_production_boe/day,oil_production_boe/day,gas_production_boe/day,oil_&_gas_reserves_boe
Kuwait,KWT,Middle East/North Africa,2011-01-01,3.127496963e+06,2.913140397e+06,214356.5653,1.12e+11
Kuwait,KWT,Middle East/North Africa,2012-01-01,3.4143432430000002e+06,3.1685926989999996e+06,245750.5439,1.12e+11
Kuwait,KWT,Middle East/North Africa,2013-01-01,3.387068035e+06,3.128706068e+06,258361.9664,1.12e+11
Kuwait,KWT,Middle East/North Africa,2014-01-01,3.3391541289999997e+06,3.101105151e+06,238048.9779,1.12e+11
Kuwait,KWT,Middle East/North Africa,2015-01-01,3.332567604e+06,3.0647367339999997e+06,267830.8699,1.12e+11
Kuwait,KWT,Middle East/North Africa,2016-01-01,3.418956066e+06,3.14507449e+06,273881.5761,1.12e+11
Kuwait,KWT,Middle East/North Africa,2017-01-01,3.3151050710000005e+06,3.025439312e+06,289665.7592,1.12e+11
Liberia,LBR,Sub-Saharan Africa,2011-01-01,,0,0,
Liberia,LBR,Sub-Saharan Africa,2012-01-01,,0,0,
Liberia,LBR,Sub-Saharan Africa,2013-01-01,,0,0,
Liberia,LBR,Sub-Saharan Africa,2014-01-01,,0,0,
Liberia,LBR,Sub-Saharan Africa,2015-01-01,,0,0,
Liberia,LBR,Sub-Saharan Africa,2016-01-01,,0,0,
Liberia,LBR,Sub-Saharan Africa,2017-01-01,,0,0,
Libya,LBY,Middle East/North Africa,2011-01-01,603194.4221,478774.7945,124419.6276,5.7257820588e+10
Libya,LBY,Middle East/North Africa,2012-01-01,1.702482834e+06,1.5092403830000001e+06,193242.4515,5.7727770962e+10
Libya,LBY,Middle East/North Africa,2013-01-01,1.191347959e+06,988601.7808,202746.1786,5.736183192e+10
Libya,LBY,Middle East/North Africa,2014-01-01,695206.3104,498003.9726,197202.3378,5.7355259139e+10
Libya,LBY,Middle East/North Africa,2015-01-01,638245.3525,431931.5,206313.8525,5.735525614e+10
Libya,LBY,Middle East/North Africa,2016-01-01,613420.8682,426092.9,187327.9682,5.735525614e+10
Libya,LBY,Middle East/North Africa,2017-01-01,1.0567305690000001e+06,864561.6438,192168.9249,5.735525614e+10
Malaysia,MYS,Asia-Pacific,2011-01-01,1.776641955e+06,660351.389,1.1162905659999999e+06,1.9165515877e+10
Malaysia,MYS,Asia-Pacific,2012-01-01,1.8166863159999999e+06,662054.8169,1.154631499e+06,1.9460345187e+10
Malaysia,MYS,Asia-Pacific,2013-01-01,1.8411542030000002e+06,625518.9041,1.215635299e+06,2.0604859264e+10
Malaysia,MYS,Asia-Pacific,2014-01-01,1.850084164e+06,649742.4658,1.2003416979999999e+06,2.0856344748e+10
Malaysia,MYS,Asia-Pacific,2015-01-01,1.9297319130000002e+06,698316.8493,1.231415064e+06,2.0813659913e+10
Malaysia,MYS,Asia-Pacific,2016-01-01,1.964018247e+06,704259.3166,1.25975893e+06,2.0813659913e+10
Malaysia,MYS,Asia-Pacific,2017-01-01,2.00534082e+06,697473.9371,1.307866883e+06,2.0813659913e+10
Mexico,MEX,Latin America/Caribbean,2011-01-01,3.808970559e+06,2.94031338e+06,868657.1794,1.3638954145e+10
Mexico,MEX,Latin America/Caribbean,2012-01-01,3.758933597e+06,2.911097981e+06,847835.6165,1.3665557148e+10
Mexico,MEX,Latin America/Caribbean,2013-01-01,3.7498965939999996e+06,2.874752731e+06,875143.8627,1.3242785153e+10
Mexico,MEX,Latin America/Caribbean,2014-01-01,3.63953304e+06,2.7842008789999997e+06,855332.1606,1.283488065e+10
Mexico,MEX,Latin America/Caribbean,2015-01-01,3.3859701560000004e+06,2.586540847e+06,799429.3082,9.494636338e+09
