company,country_iso,year,capital_expenditures_usd_million,operational_expenditures_usd_million,total_revenue_usd_million,oil_gas_&product_sales_usd_million,net_income_from_all_revenues_usd_million,total_assets_usd_million,current_assets_usd_million,total_liabilities_usd_million,total_transfers_to_government_usd_million,royalties_usd_million,income_tax_usd_million
MOGE,MMR,2013-01-01,,,2281.53321,77.64812983,,,,,943.0975391,,943.0975391
MOGE,MMR,2014-01-01,,,2467.273319000001,1856.708382,,,,,1386.646921,,1048.406012
MOGE,MMR,2015-01-01,,,1944.40753,1354.95031,,,,,906.2232142,,611.1367901000001
MOGE,MMR,2016-01-01,,,,,,,,,,,
MOGE,MMR,2017-01-01,,,,,,,,,,,
Naftogaz,UKR,2011-01-01,1975.761011,11492.3474,15295.51791,13184.83484,3803.1705090000014,26455.76877,8392.152205,13398.57648,795.9774065,,295.196919
Naftogaz,UKR,2012-01-01,1387.4307720000006,15245.84567,14517.02843,13144.48935,-728.8172471,33400.45304,7844.045790000001,18104.80152,1049.551898,,80.21494769
Naftogaz,UKR,2013-01-01,529.7134993,9120.855749,10524.58401,9430.001251,1403.728262,29765.79507,5392.46841,16374.70287,759.0391592999997,,199.049168
Naftogaz,UKR,2014-01-01,308.91774310000005,8544.200388,14986.2963,6790.217265,6442.095909000002,43413.62715,3710.96693,13381.8085,430.9873633,,0
Naftogaz,UKR,2015-01-01,298.6079308,4491.753608,7540.548364,6008.231444,3048.794756,30657.32505,4022.57797,10036.39429,1216.130353,,0
Naftogaz,UKR,2016-01-01,379.3931055,4139.6272899999985,7646.997965,7544.1853299999975,3507.370675,27575.429010000003,5265.556757,9561.809919,1532.796676,,24.8910682
Naftogaz,UKR,2017-01-01,356.022866,4504.296475,8744.34871,8552.895713,4240.052236,27188.58157,8087.873978,10625.60376,1938.78119,,500.1389971
NAMCOR,NAM,2011-01-01,2.855649177,283.7103024,349.8828396,232.1321009,66.17253718,41.68188534,22.54266883,22.72703195,0.255090799,,0.255090799
NAMCOR,NAM,2012-01-01,0.14652285,31.18191027,37.43109614,27.22654472,6.249185878,42.35195319,24.04905122,18.24381795,1.543591282,,1.543591282
NAMCOR,NAM,2013-01-01,,,,,,,,,,,
NAMCOR,NAM,2014-01-01,1.060084965,70.58321681,77.65790009999998,57.36561564,7.07468329,66.01269454,45.47103047,29.59613562,5.686872361,,5.686872361
NAMCOR,NAM,2015-01-01,0.686346789,67.53751317,68.23053738,50.9016807,0.6930242090000001,51.11943339,33.10884204,25.61152046,0.731090039,,0.731090039
NAMCOR,NAM,2016-01-01,,,,,,,,,,,
NAMCOR,NAM,2017-01-01,,,,,,,,,,,
National Oil Kenya,KEN,2011-01-01,,,,,,,,,,,
National Oil Kenya,KEN,2012-01-01,,,,,,,,,,,
National Oil Kenya,KEN,2013-01-01,,,,,,,,,,,
National Oil Kenya,KEN,2014-01-01,,,,,,,,,,,
National Oil Kenya,KEN,2015-01-01,,,,,,,,,,,
National Oil Kenya,KEN,2016-01-01,,,,,,,,,,,
National Oil Kenya,KEN,2017-01-01,,,,,,,,,,,
Nilepet,SSD,2011-01-01,,,,,,,,,,,
Nilepet,SSD,2012-01-01,,,,,,,,,,,
Nilepet,SSD,2013-01-01,,,,,,,,,,,
